"t" "mg"
"194" 253.783784722223 3.05
"195" 254.825405092593 3.13
"196" 257.067164351852 3.03
"197" 257.228483796296 3.26
"198" 263.174513888889 3.48
"199" 266.076875 3.58
"200" 266.078414351852 3.08
"201" 267.275532407408 3.18
"202" 271.924375 3.62
"203" 273.682824074074 3.07
"204" 274.177939814815 3.64
"205" 274.901354166666 3.3
"206" 275.103726851852 3.11
"207" 275.416157407408 3.27
"208" 275.693217592592 3.3
"209" 275.850173611111 3.52
"210" 276.826261574074 3.25
"211" 278.609189814815 3.92
"212" 279.639641203704 3.08
"213" 280.473113425925 3.51
"214" 284.18261574074 4.5
"215" 288.633738425926 3.13
"216" 289.030601851852 3.72
"217" 290.221412037037 3.31
"218" 291.331412037037 3.12
"219" 292.62599537037 3.01
"220" 293.920219907407 3.28
"221" 295.462824074074 3.9
"222" 296.145057870371 3.49
"223" 297.567025462963 3.07
"224" 298.624699074074 3.08
"225" 298.733356481482 4.53
"226" 299.145520833334 3.11
"227" 300.014386574074 4.56
"228" 301.140347222222 3.04
"229" 307.959895833334 3.36
"230" 309.457951388889 3.44
"231" 312.738564814815 3.25
"232" 313.037997685185 3
"233" 317.336261574074 3.81
"234" 318.501608796297 3.37
"235" 322.576898148148 3.08
"236" 323.543668981481 3.13
"237" 328.501608796297 3.36
"238" 329.547800925926 3.84
"239" 330.427071759259 3.16
"240" 330.679722222222 3.21
"241" 331.389768518518 3.06
"242" 331.886215277777 3.03
"243" 344.122511574074 3.81
"244" 344.123344907407 3.28
"245" 349.227824074074 3.21
"246" 356.256458333333 3.13
"247" 367.559004629629 3.77
"248" 368.78150462963 4.17
"249" 368.793958333334 3.82
"250" 368.807256944445 4.01
"251" 369.633761574074 3.33
"252" 370.174733796296 3.19
"253" 372.106527777778 3.75
"254" 375.226226851852 3.14
"255" 375.270613425926 3.02
"256" 379.264652777778 3.09
"257" 384.058831018519 3.1
"258" 384.354340277778 3.72
"259" 384.475138888889 3.41
"260" 386.512673611111 3.04
"261" 386.897372685185 3.1
"262" 386.915520833333 3
"263" 386.920567129629 3.14
"264" 387.439444444444 3.15
"265" 387.818657407407 3.14
"266" 390.309398148148 3.48
"267" 390.56144675926 3.38
"268" 390.909861111111 3.37
"269" 391.611967592593 3.3
"270" 397.957847222222 3.11
"271" 400.075243055556 3.75
"272" 400.464861111112 3.71
"273" 404.623796296296 4.61
"274" 404.702557870371 3.35
"275" 406.722222222223 3.41
"276" 406.916041666666 3.52
"277" 407.915335648148 3.26
"278" 411.307199074074 3.28
"279" 412.310023148149 3.89
"280" 412.362951388889 3.21
"281" 414.912303240741 3.21
"282" 415.548321759259 3.23
"283" 415.901689814815 3.54
"284" 416.025856481481 3.19
"285" 417.662986111111 3.1
"286" 423.3165625 3.43
"287" 424.52925925926 3.56
"288" 427.393159722223 3.4
"289" 428.827199074074 3.18
"290" 429.929328703704 3.48
"291" 436.937395833334 3
"292" 438.055162037037 3.07
"293" 444.494780092593 3.3
"294" 451.690092592593 3.67
"295" 453.270590277778 3.42
"296" 453.449212962963 3.27
"297" 456.592743055556 3.22
"298" 458.503356481481 4.07
"299" 461.885520833333 3.17
"300" 461.886319444445 3.46
"301" 463.381631944444 3.37
"302" 463.889166666667 3
"303" 464.47457175926 3.65
"304" 464.4878125 3.47
"305" 468.401099537037 3.02
"306" 474.226435185185 3.02
"307" 474.497118055556 3.81
"308" 482.129722222222 3.25
"309" 484.224918981481 3.19
"310" 492.260104166667 4.41
"311" 493.129282407407 3.48
"312" 495.95 3.8
"313" 496.349513888889 3
"314" 496.571412037037 3.09
